Datacom 2024 Nov All Models Price List(VAT not included),,,,,,,,
,,SKU,Image,Ref Fournisseur,Nom,PVP HT,Categorie,
,,AP362E,,50087148,"HUAWEI AP362E ( 11ax intérieur , 2+2 doubles bandes, antenne intelligente), Point d'accès à montage mural ou au plafond",1245,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP265E,,50087273,"HUAWEI AP265E ( 11ax intérieur , 2+2 doubles bandes, antenne intelligente) Point d'accès mural",1306,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP266,,50087274,"HUAWEI AP266 (11ax intérieur, 2+2 doubles bandes, antenne intelligente, PSE) Point d'accès mural",1450,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP263,,50084981,"HUAWEI AP263 ( 2,975 Gbit/s, Wi-Fi 6, intérieur, double radio (2,4 G/5 GHz), 2 x 2/2 x 2 MU-MIMO, BLE, USB, antennes intelligentes) Point d'accès mural",1858,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP361,,50086871,"HUAWEI AP361 (1,775 Gbit/s, Wi-Fi 6, intérieur, double radio (2,4 G/5 GHz), 2*2/2*2 MU-MIMO, 1*GE Base-T, antennes intelligentes)  Point d'accès à montage mural ou au plafond",1266,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP371,,50087399-001,"HUAWEI AP371 ( 1,775 Gbit/s, Wi-Fi 7, 11be intérieur, 2+2 doubles bandes, antenne intelligente, USB, BLE, RJ45*1)  Point d'accès à montage mural ou au plafond",1551,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP162E,,50087150,"HUAWEI AP162E (11ax intérieur, 2+2 doubles bandes, antenne intelligente), Point d'accès prise murale",980,"Point d'accès professionnel, Point d'accès résidentiel, WIFI, Réseau et Optique",
,,AP160,,50086816,"Huawei AP160 (11ax indoor,2+2 dual bands,smart antenna, 1,775 Gbit/s, Wi-Fi 6, intérieur, double radio (2,4 G/5 GHz), BLE, USB) Point d'accès prise murale",1020,"Point d'accès professionnel, Point d'accès résidentiel, WIFI, Réseau et Optique",
,,AP661,,02355VFC,"HUAWEI AP661 (6,575 Gbit/s, Wi-Fi 6,Intérieur haute densité,2+2+4 tri-bandes, 2,4 GHz (2x2 MIMO), 5 GHz (2x2 MIMO) et 5 GHz (4x4 MIMO), antenne intelligente, USB, BLE) Point d'accès à montage mural ou au plafond",2572,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP673,,50087291,"HUAWEI AP673 (11be intérieur, 2+2+4 tri bandes, antenne intelligente, USB, BLE), AP673, RJ45*2, 11be, tri bandes) Point d'accès à montage mural ou au plafond",2572,"Point d'accès professionnel, WIFI, Réseau et Optique",
,,AP761,,02355VFB,"HUAWEI AP761 (1,775 Gbps, Wi-Fi 6, Outdoor, Double Radio (2,4G/5GHz), 2*2/2*2 MU-MIMO, 1 x GE électrique + 1 x GE optique, antenne intégrée, BLE) Point d'accès à usage extérieur",3246,"Point d’accès extérieur (Outdoor), Point d'accès professionnel, WIFI, Réseau et Optique",
,,AC650-128AP,,02355NCG,"HUAWEI AC650-128AP (10 ports GE, 2 ports SFP+ 10GE, licence 128 intégrée) Contrôleur d'accès 128 AP",5492,"Contrôleur de point d'accès, Réseau et Optique",
,,AC650-256AP,,02355NCH,"HUAWEI AC650-256AP (10 ports GE, 2 ports SFP+ 10GE, licence 256 intégrée) Contrôleur d'accès 256 AP",7044,"Contrôleur de point d'accès, Réseau et Optique",
,,S110-8T2ST,,98012199,"HUAWEI S110-8T2ST (8*10/100/1000BASE-T ports, 1*GE SFP port, 1*10/100/1000BASE-T port)",775,"Switch non manageable, Switch",
,,S110-16T2S,,98012200,"HUAWEI S110-16T2S (16*10/100/1000BASE-T ports, 2*GE SFP ports, built-in AC power, fanless)",1756,"Switch non manageable, Switch",
,,S110-8P2ST,,98012269,"HUAWEI S110-8P2ST (8*10/100/1000BASE-T ports, PoE+ 1*GE SFP port, 1*10/100/1000BASE-T port, AC power",1735,"Switch POE, Switch non manageable, Switch",
,,S110-8P2ST,,98012195,"8 ports 10/100/1000BASE-T, PoE+, 1 port SFP GE, 1 port 10/100/1000BASE-T, alimentation secteur, adaptateur secteur (pour le Cameroun, l'Algérie, la Côte d'Ivoire, le Sénégal, le Congo-Kinshasa, la République du Congo, le Tchad)",1735,"Switch POE, Switch non manageable, Switch",A SUPPRIMER
,,S110-16LP2SR,,98012197,"HUAWEI S110-16LP2SR (16*10/100/1000BASE-T ports, 2*GE SFP ports, PoE+, AC power)",2797,"Switch POE, Switch non manageable, Switch",
,,S110-24T2SR,,98012196,"HUAWEI S110-24T2SR (24*10/100/1000BASE-T ports, 2*GE SFP ports, AC power)",2470,"Switch non manageable, Switch",
,,S110-24LP2SR,,98012198,"HUAWEI S110-24LP2SR (24*10/100/1000BASE-T ports, 2*GE SFP ports, PoE+, AC power)",4063,"Switch POE, Switch non manageable, Switch",
,,S220-8T4S,,98012551,"HUAWEI S220-8T4S(8*10/100/1000BASE-T ports, 4*GE SFP ports, built-in AC power)",1858,"Switch web-manageable, Switch manageable, Switch",
,,S220S-8T2J,,98012453,"HUAWEI S220S-8T2J (8*10/100/1000BASE-T ports, 2*2.5GE SFP ports, built-in AC power, Fanless)",1163,"Switch web-manageable, Switch manageable, Switch",
,,S220S-8T2X,,98012455,"HUAWEI S220S-8T2X (8*10/100/1000BASE-T ports, 2*10GE SFP+ ports, built-in AC power, Fanless)",1327,"Switch web-manageable, Switch manageable, Switch",
