REF,Photo,1,Code,REFERENCE VISULS BIS,Nom article,Désignation,Matières,Durée de garantie,poids brut des colis (kg),EAN AVEC LES PACK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ean colis 1,ean colis2,ean colis 3,Dimension Matelas  ,NB RESSORTS,INDICE DE FERMETE,descriptif produit,Nbre de colis,Poids net du produit (kg),poids brut des colis (kg),Dimension du produit en cm,Dimension des colis,Longueur Colis 1,Largeur colis 1,Hauteur colis 1,Longueur Colis 2,Largeur colis 2,Hauteur colis 2,Longueur Colis 3,Largeur colis 3,Hauteur colis 3,Poids colis 1,Poids colis 2,Poids colis 3,QUANTITES EN STOCK,PRIX VENTE PUBLIC CONSEILLE(€ - TTC) eshop,ecopart non incluse,prix avec ecopart,coût transport drop HT,Code
2075,,,Matelas   Le Cheverny 80 X 200,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,11,, 549.00 € ,3760260155727,,,80 X 200,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,10,11,80*200*22,"85*35*35
",85,35,35,,,,,,,10,,,6, 549.00 € ,4.57,#REF!,29.90,Matelas   Le Cheverny 80 X 200
2076,,,Matelas   Le Cheverny 90 X 190,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,11,, 579.00 € ,3760260155710,,,90 X 190,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,10,11,90*190*22,95*35*35,95,35,35,,,,,,,10,,,6, 579.00 € ,4.57,#REF!,29.90,Matelas   Le Cheverny 90 X 190
2077,,,Matelas   Le Cheverny 90 X 200,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,11,, 619.00 € ,3760260155703,,,90 X 200,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,10,11,90*200*22,95*35*35,95,35,35,,,,,,,10,,,6, 619.00 € ,4.57,#REF!,29.90,Matelas   Le Cheverny 90 X 200
2078,,,Matelas   Le Cheverny 140 X 190,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,18,, 899.00 € ,3760260155697,,,140 X 190,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,17,18,"140*190*
22",145*35*35,145,35,35,,,,,,,17,,,6, 899.00 € ,9.17,#REF!,33.25,Matelas   Le Cheverny 140 X 190
2079,,,Matelas   Le Cheverny 140 X 200,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,18,, 949.00 € ,3760260155680,,,140 X 200,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,17,18,"140*200*
22",145*35*35,145,35,35,,,,,,,17,,,5, 949.00 € ,9.17,#REF!,33.25,Matelas   Le Cheverny 140 X 200
2080,,,Matelas   Le Cheverny 160 X 200,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,19,," 1,099.00 € ",3760260155673,,,160 X 200,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,20,19,"160*200*
22",165*35*35,165,35,35,,,,,,,20,,,5," 1,099.00 € ",12.50,#REF!,33.25,Matelas   Le Cheverny 160 X 200
2081,,,Matelas   Le Cheverny 180 X 200,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,24,," 1,239.00 € ",3760260155666,,,180 X 200,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,23,24,"180*200*
22",185*35*35,185,35,35,,,,,,,23,,,4," 1,239.00 € ",12.50,#REF!,33.25,Matelas   Le Cheverny 180 X 200
2082,,,Matelas   Le Cheverny 200 X 200,Matelas   compressé roulé,Le Cheverny,Matelas  ,,5,27,," 1,369.00 € ",3760260155659,,,200 X 200,PAS DE RESSORTS,4/5,"Matelas   polyurethane
+2CM MM HT 22 cm POLYURETHANE DENSITE 28KG+2CM MEMORY",1,24,27,"200*200*
22",205*35*35,205,35,35,,,,,,,24,,,4," 1,369.00 € ",12.50,#REF!,33.25,Matelas   Le Cheverny 200 X 200
2083,,,Ensemble Le Cheverny 80 X 200,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,31,, 938.00 € ,3760260155727,3760260150142.00,,80 X 200,PAS DE RESSORTS,4/5,Sommier + Matelas  ,2,30,31,"80*200*2
2 /
80*200*1
5",85**35*35/ 85*200*20,85,35,35,200,80,15,,,,10,20,,6, 938.00 € ,8.40,#REF!,59.90,Ensemble Le Cheverny 80 X 200
2084,,,Ensemble Le Cheverny 90 X 190,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,11,, 978.00 € ,3760260155710,3760260150135,,90 X 190,PAS DE RESSORTS,4/5,Sommier + Matelas  ,1,10,11,"90*190*2
2",95*35*35 95*195*20,95,35,35,190,90,15,,,,10,,,6, 978.00 € ,8.40,#REF!,59.90,Ensemble Le Cheverny 90 X 190
2085,,,Ensemble Le Cheverny 90 X 200,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,11,," 1,038.00 € ",3760260155703,3760260150128,,90 X 200,PAS DE RESSORTS,4/5,Sommier + Matelas  ,1,10,11,"90*200*2
2",95*35*35 95*205*20,95,35,35,200,90,15,,,,10,,,6," 1,038.00 € ",8.40,#REF!,59.90,Ensemble Le Cheverny 90 X 200
2086,,,Ensemble Le Cheverny 140 X 190,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,45,," 1,448.00 € ",3760260155697,3760260150104,,140 X 190,PAS DE RESSORTS,4/5,Sommier + Matelas  ,2,44,45,"140*190*
22 /
140*190*
15",145*35*35 145*195*20,145,35,35,190,140,15,,,,17,27,,4," 1,448.00 € ",15.08,#REF!,69.90,Ensemble Le Cheverny 140 X 190
2087,,,Ensemble Le Cheverny 140 X 200,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,46,," 1,518.00 € ",3760260155680,3760260150098,,140 X 200,PAS DE RESSORTS,4/5,Sommier + Matelas  ,2,45,46,"140*200*
22 /
140*200*
15",145*35*35 /145*205*20,145,35,35,200,140,15,,,,17,28,,4," 1,518.00 € ",15.08,#REF!,69.90,Ensemble Le Cheverny 140 X 200
2088,,,Ensemble Le Cheverny 160X 200,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,56,," 1,748.00 € ",3760260155673,3760260150081,,160X 200,PAS DE RESSORTS,4/5,Sommier + Matelas  ,2,55,56,"160*200*
22/ (160*200* 15)",165**35*35 /165*205*20,165,35,35,200,160,15,,,,20,31,,4," 1,748.00 € ",20.08,#REF!,69.90,Ensemble Le Cheverny 160X 200
2089,,,Ensemble Le Cheverny (2x80)X 200,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,61,," 1,877.00 € ",3760260155673,3760260150142,3760260150142,(2x80)X 200,PAS DE RESSORTS,4/5,double Sommier + Matelas  ,3,60,61,"160*200*
22/
2*(80*200
*15)",165*35*35 /85*205*20/   85*205*20,165,35,35,200,80,15,200,80,15,20,16,16,4," 1,877.00 € ",21.16,#REF!,69.90,Ensemble Le Cheverny (2x80)X 200
2090,,,Ensemble Le Cheverny (2X90) X 200,Matelas   compressé roulé,Le Cheverny,ENSEMBLE,,5,65,," 2,077.00 € ",3760260155666,3760260150128,3760260150128,(2X90) X 200,PAS DE RESSORTS,4/5,double Sommier + Matelas  ,3,64,65,"180*200*
22 /
2*(90*200*15)",185**35*35 /95*205*20/   95*205*20,185,35,35,200,90,15,200,90,15,22,17,17,4," 2,077.00 € ",21.16,#REF!,69.90,Ensemble Le Cheverny (2X90) X 200
