,Datacom 2024 Nov All Models Price List(VAT not included),,,,,,,,,
SKU,Image,Ref Fournisseur,Nom,PVP HT,Catégorie
SFP-10GBaseT-SR,-,02314PHV,"Module SFP-10GBaseT- SR,Electrical Transceiver,SFP,10GE,Electrical Interface
Module(30m,RJ45)",4504.00,"Module SFP, Accessoires Réseau et optique"
SFP-25G-LR,-,02312LSE,"25GBase-LR Optical Transceiver-SFP28-25G Single- mode(1310nm,10km,LC)",9606.00,"Module SFP, Accessoires Réseau et optique"
SFP-25G-ESR,-,02313JFQ,"Module S5700,SFP-25G-ESR,25GBase-ESR Optical Transceiver-SFP28-25G Multi-
mode(850nm,0.2km&OM3,0.3km&OM4,LC)",5229.00,"Module SFP, Accessoires Réseau et optique"
SFP-25G-SR,-,02313URP,"Module SFP-25G- SR,25GBase-SR Optical Transceiver,SFP28,25GE,Multi-mode
Module(850nm,0.1km,LC)",2668.00,"Module SFP, Accessoires Réseau et optique"
QSFP-40G-LR4-Lite,-,02313URS,"Module QSFP-40G-LR4-Lite,40GBase- LR4 Lite Optical Transceiver,QSFP+,40G,Single-mode
Module(1310nm,2km,LC)",20919.00,"Module SFP, Accessoires Réseau et optique"
QSFP-40G-LR4,-,02313URY,"Module QSFP-40G-LR4,40GBASE-LR4 optical transceiver, QSFP+, 40G, single-mode module (1310nm, 10km, LC)",22072.00,"Module SFP, Accessoires Réseau et optique"
QSFP-40G-eSR4,-,02313URU,"Module QSFP-40G- eSR4,40GBase-eSR4 Optical Transceiver,QSFP+,40G,Multi-mode
(850nm,0.3km,MPO)(connecting to one QSFP+ or four SFP+)",4546.00,"Module SFP, Accessoires Réseau et optique"
QSFP-40G-iSR4,-,02313URW,"Module QSFP-40G- iSR4,40GBase-iSR4 Optical Transceiver,QSFP+,40G,Multi-mode
(850nm, 0.15km ,MPO)(connecting to one QSFP+ or four SFP+)",4546.00,"Module SFP, Accessoires Réseau et optique"
QSFP-100G-ZR4,-,02314DBR,"Module QSFP-100G- ZR4,100G-ZR4 Optical Transceiver,QSFP28,100G,Single-mode
module (1310nm,80km,LC)",322167.00,"Module SFP, Accessoires Réseau et optique"
QSFP-100G-ER4,-,02313HLU,"Module QSFP-100G- ER4,100GBase-ER4 Optical Transceiver,QSFP28,100G,Single-
mode module (1310nm,40km,LC)",161083.00,"Module SFP, Accessoires Réseau et optique"
QSFP-100G-CWDM4,-,02311MNN,"Module QSFP-100G-CWDM4,100GBase-CWDM4 Optical Transceiver,QSFP28,100G,Single-mode module",45639.00,"Module SFP, Accessoires Réseau et optique"
QSFP-100G-FR1,-,02314BDE,"Module QSFP-100G- FR1,100GBase-FR1 Transceiver,QSFP28,100G,Single-mode
Module(1310nm,2km,LC)",45639.00,"Module SFP, Accessoires Réseau et optique"
QSFP-100G-LR1,-,02314GYT,"Module QSFP-100G- LR1,100GBase-LR1 Optical Transceiver,QSFP28,100G,Single-
mode Module(1310nm,10km,LC)",73241.00,"Module SFP, Accessoires Réseau et optique"
QSFP28-100G-DR,-,02312VSP,"Module QSFP28-100G- DR,100GBase,DR,Optical Transceiver,QSFP28,100G,Single-mode
module (1311nm,0.5km,LC)",10481.00,"Module SFP, Accessoires Réseau et optique"
QSFP-100G-BIDI-G2,-,02314DBW,"Module QSFP-100G-BIDI- G2,100GBase-BIDI Optical Transceiver,QSFP28,100GE,Multi-
mode Module(850nm/910nm,0.07km-OM3,0.1km-OM4,LC)",10459.00,"Module SFP, Accessoires Réseau et optique"
QSFP28-100G-LR4,-,02313URT,"Module QSFP28-100G- LR4,100GBase-LR4 Optical Transceiver,QSFP28,100G,Single-
mode module (1310nm,10km,LC)",73241.00,"Module SFP, Accessoires Réseau et optique"
QSFP28-100G-SR4,-,02313URQ,"Module QSFP28-100G- SR4,100GBase-SR4 Optical Transceiver,QSFP28,100G,Multi-
mode (850nm,0.1km,MPO)",6638.00,"Module SFP, Accessoires Réseau et optique"
